Symbol	N01_AM_Naive_01	N02_AM_Naive_02	N03_AM_Naive_03	N04_AM_Naive_04	R01_AM_Allo_02H_01	R02_AM_Allo_02H_02	R03_AM_Allo_02H_03	R04_AM_Allo_02H_04	R05_AM_Allo_24H_01	R06_AM_Allo_24H_02	R07_AM_Allo_24H_03	R08_AM_Allo_24H_04
ENSMUSG00000000359	5.34454841	3.842600766	4.148822558	4.557545127	1.495799732	4.347012142	3.444783811	2.444030548	3.241027071	2.302757986	2.132340708	2.225049001
ENSMUSG00000000365	0.90543357	0.857394602	0.389322118	0.730910693	0.37783685	0.600739057	0.519955732	0.536393523	0.760943572	1.398045106	0.836024779	1.276643166
ENSMUSG00000000374	20.15649257	19.9608335	19.21647082	19.73662838	24.12114044	22.28476519	22.38602356	22.18163609	22.53753626	21.60544667	23.35254627	21.78568296
ENSMUSG00000000378	5.724891844	5.091460569	5.658313265	4.540867878	4.129211676	4.230489787	4.736901013	4.059477971	6.153915441	6.286371553	5.7236563	5.900402411
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	2.572834452	2.131570644	2.664747449	2.17512118	3.96861764	4.79802085	4.683170072	3.505396164	3.572040283	3.58904083	3.904902242	3.555658876
ENSMUSG00000000385	0	0.039921019	0	0	0.061573413	0.030593193	0	0	0	0.058417839	0	0
ENSMUSG00000000386	0.110752189	0.081903229	0.065082977	0.079686741	0.086849104	0.086303203	0.037791738	0.033625839	0.094728567	0.059925947	0.042609225	0.168954675
ENSMUSG00000000392	0.040436465	0.067282855	0.039603815	0.077584625	0.080714498	0.045832661	0.041394152	0.098216392	0.009881748	0.021879418	0.031113903	0.03895998
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	36.72042454	40.16075602	38.81111551	45.78732655	37.29832758	41.5963515	41.63962008	38.74668236	58.8224788	65.53891632	60.10882735	57.08796728
ENSMUSG00000000402	0	0	0	0	0.107901485	0	0	0.102121075	0.030823819	0	0	0
ENSMUSG00000000409	0.310858368	0.248276163	0.321506914	0.286290067	0.106371219	0.147983653	0.267305348	0.181211016	0.054696012	0.050459902	0.114811426	0.155744043
ENSMUSG00000000411	0.177636129	0	0.104386993	0.127810063	0.075980629	0.226509131	0	0.323596155	0	0	0	0
ENSMUSG00000000416	0	0	0	0.006116686	0	0	0.004351292	0.005162181	0	0	0.003924777	0
ENSMUSG00000000420	5.177687525	5.354234666	5.437197897	5.183573592	5.942522777	5.527726447	5.380955478	5.20091215	7.67060493	7.991974384	7.94151032	8.54208175
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	6.090381555	6.418123534	6.74041725	8.106809692	7.033635379	6.816846218	6.961997337	6.841747284	7.888255626	6.673168871	8.013494132	7.334998906
ENSMUSG00000000440	63.86670387	62.29009957	72.26136319	68.84965232	47.44745121	45.04362488	47.02046262	46.98718507	58.38469961	52.80261369	56.13372213	49.3002552
ENSMUSG00000000441	14.18558901	13.76176126	14.54107712	14.66061064	15.7570748	14.81920864	15.2640381	15.45579738	14.67857701	15.65457896	14.03261873	14.03328218
ENSMUSG00000000486	0.322388618	0.286094595	0.424368174	0.315465854	0.165475054	0.098660964	0.237617267	0.313220719	0.028362389	0.083730469	0.095255977	0.074548083
ENSMUSG00000000489	1.168818941	1.469416352	1.007380986	1.065229858	5.965963584	5.630384605	4.985420535	4.589638867	0.342759177	0.442698313	0.431687814	0.975988888
